task_id	strategy	run_id	round_id	commit	dev_score	confirm_score	blind_score	status	failure_type	training_seconds	lines_changed	description
neoantigen	constrained	1	1	5ff5705	0.568195			keep		303.684704	0	baseline
neoantigen	constrained	1	2	08e928c	0.745040			keep		303.863554	63	Updated `train.py` only. Added two aligned comparison/context scalar features, introduced a compact scalar contrast head fed by comparison/context scalars plus HLA-conditioned preference deltas, and fused that hidden state into the main contrast and final conditioning path. `python -m py_compile train.py` passes.
neoantigen	constrained	1	3	dcec6d9	0.387581			discard		303.344626	25	Updated `train.py` only. Added a small `group_rank_head` that combines mut-vs-wt sequence deltas, HLA-conditioned interaction deltas, preference contrast, and comparison/context scalar contrast signals, then feeds that ranking hidden state back into final conditioning. Switched the default objective to `hybrid_pairwise` and kept training batch-capped for MPS/CPU safety instead of using full-dataset batches. `python -m py_compile train.py` passes.
neoantigen	constrained	1	4	3c0f3af	0.693136			discard		303.379336	57	Updated `train.py` only. Added two high-level context scalars (`foreignness_x_el_advantage`, `agretopicity_x_stability`) and introduced a small `HLAConditionedScalarEncoder` that conditions comparison/context scalars on HLA and WT/Mut preference context before the scalar contrast head, contrast stack, and final fusion. Kept the default BCE objective for stability and MPS/CPU compatibility. `python -m py_compile train.py` passes.
neoantigen	constrained	1	5	ad17b94	0.442076			discard		303.898021	46	Updated `train.py` only. Added a small `HLAInteractionHead`, fed it HLA-conditioned mut-vs-wt sequence interactions plus preference/scalar-contrast context, and fused its hidden state back into the main contrast inputs, conditioning path, and final logit with a modest auxiliary weight. Training objective, batching, and device compatibility remain MPS/CPU-safe. `python -m py_compile train.py` passes.
neoantigen	constrained	1	6	817c4a6	0.670961			discard		303.980545	94	Updated `train.py` only. Added one context scalar (`foreignness_x_el_advantage`), introduced a small `ScalarPairContrastHead` that splits the base scalar block into mut-side, wt-side, and shared views, conditions their contrast on the existing HLA preference hidden state, and feeds that representation back into the main contrast path, final conditioning, and logits with a modest auxiliary weight. `python -m py_compile train.py` passes.
neoantigen	constrained	1	7	08e928c	0.745040			discard	worker_failed		0	codex exec failed | exit_code: 1 | stdout: | {"type":"thread.started","thread_id":"019d437f-6d1a-7d13-a4b2-2f150e3bce25"} | {"type":"turn.started"} | {"type":"error","message":"You've hit your usage limit. To get more access now, send a request to your admin or try again at 8:36 PM."} | {"type":"turn.failed","error":{"message":"You've hit your usage limit. To get more access now, send a request to your admin or try again at 8:36 PM."}} |  | stderr:
hla_immunogenicity	constrained	1	1	5ff5705	0.898982			keep		304.929204	0	baseline
hla_immunogenicity	constrained	1	2	5ff5705	0.898982			discard	worker_failed		0	codex exec failed | exit_code: 1 | stdout: | {"type":"thread.started","thread_id":"019d4384-5c57-7f60-9aff-14a31388ee77"} | {"type":"turn.started"} | {"type":"error","message":"You've hit your usage limit. To get more access now, send a request to your admin or try again at 8:36 PM."} | {"type":"turn.failed","error":{"message":"You've hit your usage limit. To get more access now, send a request to your admin or try again at 8:36 PM."}} |  | stderr:
neoantigen	constrained	1	8	7573fc7	0.697454			discard		304.250932	72	Modified only `train.py`. Added `allele_context_logit_weight`, introduced a lightweight `AlleleContextHead`, split the existing base scalar block into mut-side, wt-side, and shared views, and built an asymmetric HLA-conditioned mut-vs-wt context delta that is fused into the main contrast path and final conditioning. No loss/sampling/pooling changes were made. Verification: `python -m py_compile train.py` passed.
